topic,placeId,placeName,placeType,fips,region,date,body,confidence,sourceType,vendors,matchedTerms,tags,excerpt,sourceUrl
alpr,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-09-08,Board of Commissioners Work Session,high,ocr,Flock Safety,flock,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-689e9b7312de4e6b8cc046eb7f67c817.pdf
alpr,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-08-25,Board of Commissioners Work Session,high,ocr,Flock Safety,flock,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-4b05fa3853ec4025a61f8ba195b42275.pdf
alpr,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-08-25,Board of Commissioners Board Meeting,high,ocr,Flock Safety,flock,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-b6a87c16e180419890a5f6ca730a9ba2.pdf
alpr,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-08-11,Board of Commissioners Work Session,high,ocr,Flock Safety,flock,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-c83f3a2f035a4feda43980d8f6d2b7e5.pdf
alpr,bibb,Macon-Bibb County,county,13021,Middle Georgia,2026-08-04,Board of Commissioners,high,ocr,Flock Safety,flock,,,"https://maconbibbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3651,plainText=false)"
alpr,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-07-28,Board of Commissioners Work Session,high,ocr,Flock Safety,flock,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-00107d3a3e4a42c3af2a7d720e3553dc.pdf
alpr,henry,Henry County,county,13151,Atlanta Regional Commission,2026-07-27,Board of Commissioners,high,ocr,Flock Safety,flock,,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2600,plainText=false)"
alpr,henry,Henry County,county,13151,Atlanta Regional Commission,2026-07-21,Board of Commissioners,high,ocr,Flock Safety,flock,,,"https://henrycoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=2596,plainText=false)"
alpr,bibb,Macon-Bibb County,county,13021,Middle Georgia,2026-07-21,Board of Commissioners,high,ocr,Flock Safety,flock,,,"https://maconbibbcoga.api.civicclerk.com/v1/Meetings/GetMeetingFileStream(fileId=3633,plainText=false)"
alpr,paulding,Paulding County,county,13223,Atlanta Regional Commission,2026-07-14,Board of Commissioners Work Session,high,ocr,Flock Safety,flock,,,https://mccmeetings.blob.core.usgovcloudapi.net/pauldingga-pubu/MEET-Agenda-ebd41cb0ecd343a0adf29c6de6088edc.pdf
